StartDate,EndDate,Status,Progress,Duration__in_seconds_,Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,PID,DH1,DH2,DH3,DH4,DH5,PVD1,PVD2,PVD3R,PVD4,PVD5R,PVD6,PVD7,PVD8,PVD9,PVD10,PVD11R,PVD12R,PVD13R,PVD14R,PVD15,DS1,DS2,DS3,DS4,DS5,DS6,DS7,WFD1,WFD2,WFD3,WFD4,WFD5,WFD6,WFD7,WFD8,WFD9,WFD10___rating,WMD1,WMD2,WMD3,WMD4,WMD5,WMD6,WMD7,WMD8,WMD9,WMD10,WFN1,WFN2,WFN3,WFN4,WFN5,WFN6,WFN7,WFN8,WFN9,WFN10,WMN1,WMN2,WMN3,WMN4,WMN5,WMN6,WMN7,WMN8,WMN9,WMN10,A1b___yellow_stuff,A2b_sickface,A3b_Crowded_train,A4b_Yellow_red_towel,A5b_wound,A6b_worms,A7b_mite,O1R,C1,A1,X1,E1,H1,O2,C2,A2R,X2R,E2,H2R,O3,C3R,A3R,X3,E3,H3,O4R,C4R,A4R,X4,E4,H4R,O5,C5R,A5,X5R,E5,H5R,O6R,C6R,A6,X6,E6R,H6,O7,C7,A7,X7,E7R,H7R,O8,C8R,A8,X8R,E8,H8R,O9R,C9,A9,X9R,E9R,H9,O10R,C10R,A10R,X10,E10R,H10R
2019-09-26T18:52:13Z,2019-10-01T11:52:23Z,0,100,406809,1,2019-10-01T11:52:23Z,R_3ndcYlB5bksSxQ0,anonymous,EN,201,3,6,5,6,4,5,7,1,3,7,4,2,5,1,5,1,7,2,6,1,6,4,4,5,7,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,2,4,7,7,5,6,5,4,1,2,4,4,5,2,4,4,5,4,5,4,4,3,4,2,5,5,5,2,4,5,4,4,1,3,2,5,5,5,3,1,5,2,5,5,5,4,3,2,4,4,4,2,3,5,5,1,2,2,3,4,5,4,5,2,2,3
2019-10-01T10:56:19Z,2019-10-01T12:25:17Z,0,100,5338,1,2019-10-01T12:25:18Z,R_2Xb4f6DGLbwvb4e,anonymous,EN,202,2,4,6,4,2,6,2,7,6,2,2,4,1,4,1,5,2,4,3,3,8,5,6,7,5,4,3,3,3,4,5,5,4,4,3,6,6,2,2,2,5,5,6,5,5,5,2,2,1,2,1,1,2,1,1,2,1,4,2,3,1,2,1,3,2,2,1,6,5,2,5,7,6,4,5,5,1,5,2,4,3,5,3,1,4,4,4,5,1,1,2,3,5,4,4,4,3,2,4,5,1,2,5,5,5,5,1,3,5,1,2,5,1,2,2,2,3,4,3,2,1,1,2,5,2,3,5,4,5,4,2,3,2,3
2019-09-26T19:14:44Z,2019-10-01T12:28:57Z,0,100,407652,1,2019-10-01T12:28:57Z,R_1qUrxrXLbjPdWs8,anonymous,EN,203,5,2,2,1,2,7,4,3,3,4,2,2,5,1,3,2,4,5,3,4,7,3,5,6,5,6,7,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,2,1,2,1,1,1,2,2,2,3,2,1,2,2,2,2,5,5,2,6,7,5,5,2,2,2,4,4,3,2,3,4,1,5,4,1,2,4,2,3,2,3,2,4,4,5,4,2,1,3,1,4,2,1,4,2,1,4,2,4,2,4,3,2,4,4,2,4,3,5,4,2,2,4,2,5,3,2,2,2,1,4,1
2019-10-01T12:03:00Z,2019-10-01T12:32:07Z,0,100,1746,1,2019-10-01T12:32:07Z,R_1gwscl81703AavZ,anonymous,EN,204,1,4,4,5,5,5,3,2,2,5,3,2,2,2,2,2,3,4,3,1,6,2,3,3,4,5,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,2,2,1,6,3,3,6,7,5,5,4,4,4,5,2,4,5,4,3,5,5,3,4,4,3,5,2,5,4,4,4,5,4,5,4,3,4,4,2,2,4,4,5,4,4,2,4,4,4,5,3,4,4,3,4,4,5,5,4,4,4,4,2,4,5,4,4,4,5,2
2019-10-01T12:28:29Z,2019-10-01T12:54:12Z,0,100,1542,1,2019-10-01T12:54:13Z,R_WldxCPwUvJl2IlX,anonymous,EN,206,7,2,3,2,1,4,4,3,5,3,4,3,3,3,3,2,3,4,3,2,5,2,4,5,3,4,3,3,2,2,2,2,3,2,2,2,3,2,2,3,2,2,2,3,2,2,2,1,2,2,1,1,1,2,1,1,1,2,3,2,2,2,2,2,2,1,1,3,2,1,3,4,5,3,2,4,2,4,2,3,4,5,4,3,5,2,3,4,2,2,4,4,4,3,3,4,4,3,4,2,2,3,2,4,4,4,4,3,4,4,3,4,4,3,4,3,4,3,3,2,3,4,4,4,2,5,3,4,5,3,4,3,4,4
2019-10-01T12:24:02Z,2019-10-01T12:55:48Z,0,100,1906,1,2019-10-01T12:55:48Z,R_3dW9K8cs697zZi5,anonymous,EN,205,6,1,1,1,1,6,3,3,2,3,2,1,2,1,1,5,5,2,4,4,7,3,2,3,5,7,3,1,1,1,3,3,1,1,1,3,5,1,1,1,1,3,3,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,7,5,5,5,4,4,4,1,2,5,4,4,5,2,3,4,5,4,5,4,4,4,2,5,4,4,4,5,2,3,3,2,5,5,4,4,4,3,4,4,5,3,3,4,5,4,3,4,4,2,2,4,4,3,2,5,4,5,2,4,5,2,4
2019-10-01T12:29:04Z,2019-10-01T12:59:47Z,0,100,1843,1,2019-10-01T12:59:48Z,R_3koawa8Nj9vxd6A,anonymous,EN,207,1,2,2,1,1,6,2,7,6,2,1,3,1,2,1,6,3,5,2,6,7,6,6,6,7,6,5,7,7,7,7,7,7,7,6,7,6,7,7,7,7,7,7,7,7,6,7,2,2,6,6,6,5,2,5,2,2,3,2,6,2,5,2,3,2,2,5,7,7,4,7,7,7,7,4,4,3,3,4,4,4,5,3,3,4,4,3,4,4,3,4,2,3,4,4,4,2,2,5,4,3,2,4,4,5,2,3,4,3,4,4,4,4,4,2,2,4,4,2,3,2,2,2,4,4,4,2,4,5,2,3,4,2,2
2019-10-01T12:38:29Z,2019-10-01T13:05:51Z,0,100,1642,1,2019-10-01T13:05:52Z,R_UhAVfxPQkzfs4Uh,anonymous,EN,208,6,2,5,2,2,4,2,1,5,4,2,4,1,2,1,2,3,2,2,4,8,2,3,6,5,6,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,3,5,6,5,4,4,3,2,3,4,3,2,4,3,3,5,3,4,4,2,3,3,3,3,2,1,4,4,4,4,3,4,2,2,3,4,3,4,5,4,3,4,4,5,4,2,3,3,2,2,2,4,3,4,3,3,2,4,2,3,2,2,3,3,4
2019-10-01T13:11:28Z,2019-10-01T13:35:52Z,0,100,1464,1,2019-10-01T13:35:53Z,R_3k62F9oBPlP6Tuk,anonymous,EN,210,5,1,1,1,1,7,4,2,5,7,2,1,5,2,3,1,5,5,4,2,7,3,7,4,7,3,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,7,6,1,7,5,3,2,3,2,5,5,5,1,1,3,4,4,1,2,1,2,1,2,5,5,1,1,5,5,5,3,3,3,4,5,5,2,1,4,4,5,5,2,1,1,1,5,1,5,1,4,5,3,2,3,4,1,5,4,4,3,1,2,4
2019-10-01T12:39:00Z,2019-10-01T13:36:06Z,0,100,3425,1,2019-10-01T13:36:07Z,R_pbn6GPXSrnsZOoh,anonymous,EN,209,4,5,5,5,3,4,5,2,5,2,4,2,5,4,3,2,4,3,5,2,5,3,4,3,6,2,6,1,1,2,1,2,1,1,1,2,2,1,1,4,1,1,2,3,2,2,2,1,2,1,3,1,2,1,2,1,1,2,1,1,2,3,2,2,2,1,2,2,3,1,3,7,5,3,4,4,3,4,1,5,2,4,4,4,4,4,4,4,2,4,2,4,3,4,4,4,4,4,3,2,3,2,4,5,2,2,2,4,4,4,4,2,2,2,2,4,4,4,4,2,4,4,4,2,4,4,4,5,5,3,2,1,4,4
