subject	blockcode	trialcode	trialnum	latency	response	stimulusitem1	stimulusitem2	stimulusitem3	stimulusitem4	stimulusitem5										
401	practice	practice_bottomright_diff	2	1058	18	mask.bmp	blankscreen.bmp	practice12.jpg	blankscreen.bmp	circle.bmp										
401	practice	practice_bottomleft_same	3	496	18	mask.bmp	blankscreen.bmp	practice6.jpg	blankscreen.bmp	circle.bmp										
401	practice	practice_topright_same	4	1214	18	mask.bmp	blankscreen.bmp	practice3.jpg	blankscreen.bmp	circle.bmp										
401	practice	practice_bottomright_same	5	806	23	mask.bmp	blankscreen.bmp	practice7.jpg	blankscreen.bmp	square.bmp										
401	practice	practice_topleft_diff	6	687	18	mask.bmp	blankscreen.bmp	practice9.jpg	blankscreen.bmp	circle.bmp										
401	practice	practice_bottomleft_diff	7	588	18	mask.bmp	blankscreen.bmp	practice11.jpg	blankscreen.bmp	circle.bmp										
401	practice	practice_topright_same	8	382	18	mask.bmp	blankscreen.bmp	practice4.jpg	blankscreen.bmp	circle.bmp										
401	practice	practice_bottomleft_same	9	536	23	mask.bmp	blankscreen.bmp	practice5.jpg	blankscreen.bmp	square.bmp										
401	practice	practice_topleft_same	10	523	18	mask.bmp	blankscreen.bmp	practice1.jpg	blankscreen.bmp	circle.bmp										
401	practice	practice_bottomright_same	11	431	18	mask.bmp	blankscreen.bmp	practice8.jpg	blankscreen.bmp	square.bmp										
401	practice	practice_topleft_same	12	671	23	mask.bmp	blankscreen.bmp	practice2.jpg	blankscreen.bmp	square.bmp										
401	real_a	real_bottomleft_diff_a	1	1095	18	mask.bmp	blankscreen.bmp	wfn1.bmp	blankscreen.bmp	circle.bmp										
401	real_a	real_topright_diff_a	2	437	18	mask.bmp	blankscreen.bmp	wmn1.bmp	blankscreen.bmp	circle.bmp										
401	real_a	real_topleft_diff_a	3	718	23	mask.bmp	blankscreen.bmp	wmd2.bmp	blankscreen.bmp	square.bmp										
401	real_a	real_topright_diff_a	4	692	23	mask.bmp	blankscreen.bmp	wmd3.bmp	blankscreen.bmp	square.bmp										
401	real_a	real_bottomright_diff_a	5	554	23	mask.bmp	blankscreen.bmp	wmn3.bmp	blankscreen.bmp	square.bmp										
401	real_a	real_topleft_same_a	6	486	23	mask.bmp	blankscreen.bmp	wfn4.bmp	blankscreen.bmp	square.bmp										
401	real_a	real_bottomright_diff_a	7	725	18	mask.bmp	blankscreen.bmp	wfn2.bmp	blankscreen.bmp	circle.bmp										
401	real_a	real_bottomright_same_a	8	922	18	mask.bmp	blankscreen.bmp	wmn5.bmp	blankscreen.bmp	circle.bmp										
401	real_a	real_topleft_same_a	9	952	23	mask.bmp	blankscreen.bmp	wfd4.bmp	blankscreen.bmp	circle.bmp										
401	real_a	real_topright_same_a	10	396	23	mask.bmp	blankscreen.bmp	wmn4.bmp	blankscreen.bmp	square.bmp										
401	real_a	real_topleft_diff_a	11	390	18	mask.bmp	blankscreen.bmp	wfn3.bmp	blankscreen.bmp	circle.bmp										
401	real_a	real_bottomleft_diff_a	12	609	18	mask.bmp	blankscreen.bmp	wmn2.bmp	blankscreen.bmp	circle.bmp										
401	real_a	real_bottomright_diff_a	13	739	23	mask.bmp	blankscreen.bmp	wmd1.bmp	blankscreen.bmp	square.bmp										
401	real_a	real_bottomleft_same_a	14	760	23	mask.bmp	blankscreen.bmp	wfn5.bmp	blankscreen.bmp	square.bmp										
401	real_a	real_topright_same_a	15	1084	23	mask.bmp	blankscreen.bmp	wfd5.bmp	blankscreen.bmp	square.bmp										
401	real_a	real_topright_diff_a	16	667	23	mask.bmp	blankscreen.bmp	wfd2.bmp	blankscreen.bmp	square.bmp										
401	real_a	real_bottomright_same_a	17	738	23	mask.bmp	blankscreen.bmp	wmd5.bmp	blankscreen.bmp	square.bmp										
401	real_a	real_bottomleft_diff_a	18	839	18	mask.bmp	blankscreen.bmp	wfd3.bmp	blankscreen.bmp	circle.bmp										
401	real_a	real_topleft_diff_a	19	696	23	mask.bmp	blankscreen.bmp	wfd1.bmp	blankscreen.bmp	square.bmp										
401	real_a	real_bottomleft_same_a	20	742	18	mask.bmp	blankscreen.bmp	wmd4.bmp	blankscreen.bmp	circle.bmp										
401	real_b	real_bottomleft_same_b	1	646	23	mask.bmp	blankscreen.bmp	wfd9.bmp	blankscreen.bmp	square.bmp										
