subject	blockcode	trialcode	trialnum	latency	response	stimulusitem1	stimulusitem2	stimulusitem3	stimulusitem4	stimulusitem5
405	practice	practice_topright_same	1	1553	18	mask.bmp	blankscreen.bmp	practice4.jpg	blankscreen.bmp	circle.bmp
405	practice	practice_bottomleft_diff	2	587	18	mask.bmp	blankscreen.bmp	practice11.jpg	blankscreen.bmp	circle.bmp
405	practice	practice_topleft_same	3	365	18	mask.bmp	blankscreen.bmp	practice1.jpg	blankscreen.bmp	circle.bmp
405	practice	practice_bottomright_same	4	319	23	mask.bmp	blankscreen.bmp	practice8.jpg	blankscreen.bmp	square.bmp
405	practice	practice_topleft_same	5	483	18	mask.bmp	blankscreen.bmp	practice2.jpg	blankscreen.bmp	circle.bmp
405	practice	practice_bottomright_same	6	449	18	mask.bmp	blankscreen.bmp	practice7.jpg	blankscreen.bmp	circle.bmp
405	practice	practice_bottomright_diff	7	552	18	mask.bmp	blankscreen.bmp	practice12.jpg	blankscreen.bmp	circle.bmp
405	practice	practice_topright_same	8	443	18	mask.bmp	blankscreen.bmp	practice3.jpg	blankscreen.bmp	circle.bmp
405	practice	practice_topleft_diff	9	443	23	mask.bmp	blankscreen.bmp	practice9.jpg	blankscreen.bmp	square.bmp
405	practice	practice_topright_diff	10	442	23	mask.bmp	blankscreen.bmp	practice10.jpg	blankscreen.bmp	square.bmp
405	practice	practice_bottomleft_same	11	305	23	mask.bmp	blankscreen.bmp	practice6.jpg	blankscreen.bmp	square.bmp
405	practice	practice_bottomleft_same	12	390	23	mask.bmp	blankscreen.bmp	practice5.jpg	blankscreen.bmp	square.bmp
405	real_a	real_bottomright_same_a	1	502	23	mask.bmp	blankscreen.bmp	wmn5.bmp	blankscreen.bmp	square.bmp
405	real_a	real_bottomleft_diff_a	2	532	23	mask.bmp	blankscreen.bmp	wfd3.bmp	blankscreen.bmp	square.bmp
405	real_a	real_topleft_diff_a	3	473	18	mask.bmp	blankscreen.bmp	wfd1.bmp	blankscreen.bmp	circle.bmp
405	real_a	real_bottomleft_same_a	4	64	18	mask.bmp	blankscreen.bmp	wfn5.bmp	blankscreen.bmp	circle.bmp
405	real_a	real_topleft_same_a	5	335	18	mask.bmp	blankscreen.bmp	wfn4.bmp	blankscreen.bmp	circle.bmp
405	real_a	real_bottomleft_diff_a	6	484	23	mask.bmp	blankscreen.bmp	wfn1.bmp	blankscreen.bmp	square.bmp
405	real_a	real_bottomright_diff_a	7	531	23	mask.bmp	blankscreen.bmp	wfn2.bmp	blankscreen.bmp	square.bmp
405	real_a	real_topleft_same_a	8	504	18	mask.bmp	blankscreen.bmp	wfd4.bmp	blankscreen.bmp	circle.bmp
405	real_a	real_bottomright_diff_a	9	438	18	mask.bmp	blankscreen.bmp	wmn3.bmp	blankscreen.bmp	square.bmp
405	real_a	real_topright_same_a	10	359	23	mask.bmp	blankscreen.bmp	wmn4.bmp	blankscreen.bmp	circle.bmp
405	real_a	real_bottomright_same_a	11	730	18	mask.bmp	blankscreen.bmp	wmd5.bmp	blankscreen.bmp	circle.bmp
405	real_a	real_bottomright_diff_a	12	552	23	mask.bmp	blankscreen.bmp	wmd1.bmp	blankscreen.bmp	square.bmp
405	real_a	real_topright_diff_a	13	572	23	mask.bmp	blankscreen.bmp	wmn1.bmp	blankscreen.bmp	square.bmp
405	real_a	real_bottomleft_diff_a	14	527	18	mask.bmp	blankscreen.bmp	wmn2.bmp	blankscreen.bmp	circle.bmp
405	real_a	real_topleft_diff_a	15	389	18	mask.bmp	blankscreen.bmp	wfn3.bmp	blankscreen.bmp	circle.bmp
405	real_a	real_topright_diff_a	16	439	23	mask.bmp	blankscreen.bmp	wmd3.bmp	blankscreen.bmp	square.bmp
405	real_a	real_topleft_diff_a	17	480	23	mask.bmp	blankscreen.bmp	wmd2.bmp	blankscreen.bmp	square.bmp
405	real_a	real_bottomleft_same_a	18	439	18	mask.bmp	blankscreen.bmp	wmd4.bmp	blankscreen.bmp	circle.bmp
405	real_a	real_topright_same_a	19	472	18	mask.bmp	blankscreen.bmp	wfd5.bmp	blankscreen.bmp	circle.bmp
405	real_a	real_topright_diff_a	20	423	23	mask.bmp	blankscreen.bmp	wfd2.bmp	blankscreen.bmp	square.bmp
405	real_b	real_topleft_diff_b	1	455	23	mask.bmp	blankscreen.bmp	wmd8.bmp	blankscreen.bmp	square.bmp
405	real_b	real_topleft_diff_b	2	431	18	mask.bmp	blankscreen.bmp	wfd7.bmp	blankscreen.bmp	circle.bmp
405	real_b	real_bottomright_same_b	3	521	23	mask.bmp	blankscreen.bmp	wfd10.bmp	blankscreen.bmp	square.bmp
405	real_b	real_bottomright_diff_b	4	606	18	mask.bmp	blankscreen.bmp	wfn8.bmp	blankscreen.bmp	circle.bmp
405	real_b	real_topleft_same_b	5	552	18	mask.bmp	blankscreen.bmp	wmn9.bmp	blankscreen.bmp	circle.bmp
405	real_b	real_topright_same_b	6	372	18	mask.bmp	blankscreen.bmp	wmn10.bmp	blankscreen.bmp	circle.bmp
405	real_b	real_bottomleft_same_b	7	567	23	mask.bmp	blankscreen.bmp	wmd10.bmp	blankscreen.bmp	square.bmp
405	real_b	real_bottomleft_diff_b	8	483	23	mask.bmp	blankscreen.bmp	wmn8.bmp	blankscreen.bmp	square.bmp
405	real_b	real_topright_diff_b	9	401	23	mask.bmp	blankscreen.bmp	wmn7.bmp	blankscreen.bmp	square.bmp
405	real_b	real_bottomright_diff_b	10	451	18	mask.bmp	blankscreen.bmp	wmd7.bmp	blankscreen.bmp	circle.bmp
405	real_b	real_topleft_diff_b	11	475	18	mask.bmp	blankscreen.bmp	wmn6.bmp	blankscreen.bmp	circle.bmp
405	real_b	real_bottomleft_diff_b	12	347	23	mask.bmp	blankscreen.bmp	wfn7.bmp	blankscreen.bmp	circle.bmp
405	real_b	real_topright_same_b	13	487	18	mask.bmp	blankscreen.bmp	wfn9.bmp	blankscreen.bmp	circle.bmp
405	real_b	real_topright_diff_b	14	541	18	mask.bmp	blankscreen.bmp	wfn6.bmp	blankscreen.bmp	circle.bmp
405	real_b	real_bottomright_diff_b	15	450	18	mask.bmp	blankscreen.bmp	wfd6.bmp	blankscreen.bmp	circle.bmp
405	real_b	real_bottomleft_diff_b	16	490	18	mask.bmp	blankscreen.bmp	wmd6.bmp	blankscreen.bmp	circle.bmp
405	real_b	real_bottomright_same_b	17	473	23	mask.bmp	blankscreen.bmp	wfn10.bmp	blankscreen.bmp	square.bmp
405	real_b	real_topright_diff_b	18	465	18	mask.bmp	blankscreen.bmp	wfd8.bmp	blankscreen.bmp	circle.bmp
405	real_b	real_bottomleft_same_b	19	384	23	mask.bmp	blankscreen.bmp	wfd9.bmp	blankscreen.bmp	square.bmp
405	real_b	real_topleft_same_b	20	419	18	mask.bmp	blankscreen.bmp	wmd9.bmp	blankscreen.bmp	circle.bmp
405	real_c	real_bottomleft_diff_c	1	580	23	mask.bmp	blankscreen.bmp	wmd5.bmp	blankscreen.bmp	square.bmp
405	real_c	real_bottomright_diff_c	2	375	18	mask.bmp	blankscreen.bmp	wfd5.bmp	blankscreen.bmp	circle.bmp
405	real_c	real_bottomleft_same_c	3	290	23	mask.bmp	blankscreen.bmp	wmn1.bmp	blankscreen.bmp	square.bmp
405	real_c	real_topright_diff_c	4	409	18	mask.bmp	blankscreen.bmp	wmn3.bmp	blankscreen.bmp	circle.bmp
405	real_c	real_bottomright_same_c	5	387	18	mask.bmp	blankscreen.bmp	wmd2.bmp	blankscreen.bmp	square.bmp
405	real_c	real_topleft_diff_c	6	445	23	mask.bmp	blankscreen.bmp	wfd3.bmp	blankscreen.bmp	circle.bmp
405	real_c	real_topleft_same_c	7	510	18	mask.bmp	blankscreen.bmp	wfd1.bmp	blankscreen.bmp	circle.bmp
405	real_c	real_topright_same_c	8	444	18	mask.bmp	blankscreen.bmp	wfn2.bmp	blankscreen.bmp	circle.bmp
405	real_c	real_topright_diff_c	9	525	23	mask.bmp	blankscreen.bmp	wfn5.bmp	blankscreen.bmp	square.bmp
405	real_c	real_topleft_diff_c	10	521	18	mask.bmp	blankscreen.bmp	wfn4.bmp	blankscreen.bmp	circle.bmp
405	real_c	real_bottomright_diff_c	11	519	23	mask.bmp	blankscreen.bmp	wmd3.bmp	blankscreen.bmp	square.bmp
405	real_c	real_bottomright_diff_c	12	492	18	mask.bmp	blankscreen.bmp	wmn4.bmp	blankscreen.bmp	circle.bmp
405	real_c	real_topright_same_c	13	475	18	mask.bmp	blankscreen.bmp	wmd1.bmp	blankscreen.bmp	square.bmp
405	real_c	real_bottomleft_diff_c	14	802	18	mask.bmp	blankscreen.bmp	wfd4.bmp	blankscreen.bmp	square.bmp
405	real_c	real_bottomleft_diff_c	15	604	18	mask.bmp	blankscreen.bmp	wfn3.bmp	blankscreen.bmp	circle.bmp
405	real_c	real_topleft_same_c	16	343	23	mask.bmp	blankscreen.bmp	wfn1.bmp	blankscreen.bmp	square.bmp
405	real_c	real_bottomright_same_c	17	475	23	mask.bmp	blankscreen.bmp	wmn2.bmp	blankscreen.bmp	square.bmp
405	real_c	real_topright_diff_c	18	483	18	mask.bmp	blankscreen.bmp	wmd4.bmp	blankscreen.bmp	circle.bmp
405	real_c	real_bottomleft_same_c	19	450	18	mask.bmp	blankscreen.bmp	wfd2.bmp	blankscreen.bmp	circle.bmp
405	real_c	real_topleft_diff_c	20	450	18	mask.bmp	blankscreen.bmp	wmn5.bmp	blankscreen.bmp	circle.bmp
405	real_d	real_bottomleft_diff_d	1	785	23	mask.bmp	blankscreen.bmp	wmd8.bmp	blankscreen.bmp	square.bmp
405	real_d	real_topleft_diff_d	2	412	23	mask.bmp	blankscreen.bmp	wfn10.bmp	blankscreen.bmp	square.bmp
405	real_d	real_topleft_same_d	3	382	23	mask.bmp	blankscreen.bmp	wmd6.bmp	blankscreen.bmp	square.bmp
405	real_d	real_bottomright_diff_d	4	433	18	mask.bmp	blankscreen.bmp	wfd8.bmp	blankscreen.bmp	circle.bmp
405	real_d	real_topright_same_d	5	361	23	mask.bmp	blankscreen.bmp	wmd7.bmp	blankscreen.bmp	circle.bmp
405	real_d	real_topleft_diff_d	6	565	23	mask.bmp	blankscreen.bmp	wmd9.bmp	blankscreen.bmp	square.bmp
405	real_d	real_topright_same_d	7	545	23	mask.bmp	blankscreen.bmp	wfd6.bmp	blankscreen.bmp	square.bmp
405	real_d	real_bottomright_same_d	8	565	18	mask.bmp	blankscreen.bmp	wfd7.bmp	blankscreen.bmp	square.bmp
405	real_d	real_bottomright_diff_d	9	385	18	mask.bmp	blankscreen.bmp	wfn9.bmp	blankscreen.bmp	circle.bmp
405	real_d	real_bottomleft_same_d	10	499	23	mask.bmp	blankscreen.bmp	wfn6.bmp	blankscreen.bmp	circle.bmp
405	real_d	real_bottomleft_same_d	11	593	18	mask.bmp	blankscreen.bmp	wmn7.bmp	blankscreen.bmp	circle.bmp
405	real_d	real_bottomright_diff_d	12	476	18	mask.bmp	blankscreen.bmp	wmn10.bmp	blankscreen.bmp	circle.bmp
405	real_d	real_bottomleft_diff_d	13	411	18	mask.bmp	blankscreen.bmp	wfd10.bmp	blankscreen.bmp	circle.bmp
405	real_d	real_topleft_same_d	14	437	23	mask.bmp	blankscreen.bmp	wmn6.bmp	blankscreen.bmp	square.bmp
405	real_d	real_topleft_diff_d	15	534	23	mask.bmp	blankscreen.bmp	wmn8.bmp	blankscreen.bmp	square.bmp
405	real_d	real_topright_diff_d	16	499	23	mask.bmp	blankscreen.bmp	wfn8.bmp	blankscreen.bmp	square.bmp
405	real_d	real_bottomleft_diff_d	17	673	18	mask.bmp	blankscreen.bmp	wmn9.bmp	blankscreen.bmp	circle.bmp
405	real_d	real_topright_diff_d	18	545	23	mask.bmp	blankscreen.bmp	wmd10.bmp	blankscreen.bmp	square.bmp
405	real_d	real_topright_diff_d	19	557	23	mask.bmp	blankscreen.bmp	wfd9.bmp	blankscreen.bmp	square.bmp
405	real_d	real_bottomright_same_d	20	377	23	mask.bmp	blankscreen.bmp	wfn7.bmp	blankscreen.bmp	square.bmp
411	practice	practice_bottomleft_diff	1	2267	18	mask.bmp	blankscreen.bmp	practice11.jpg	blankscreen.bmp	circle.bmp
411	practice	practice_bottomright_diff	2	441	18	mask.bmp	blankscreen.bmp	practice12.jpg	blankscreen.bmp	circle.bmp
411	practice	practice_bottomright_same	3	536	23	mask.bmp	blankscreen.bmp	practice7.jpg	blankscreen.bmp	square.bmp
411	practice	practice_topleft_same	4	531	23	mask.bmp	blankscreen.bmp	practice2.jpg	blankscreen.bmp	square.bmp
411	practice	practice_topleft_diff	5	495	18	mask.bmp	blankscreen.bmp	practice9.jpg	blankscreen.bmp	circle.bmp
411	practice	practice_topleft_same	6	709	23	mask.bmp	blankscreen.bmp	practice1.jpg	blankscreen.bmp	square.bmp
411	practice	practice_bottomleft_same	7	505	23	mask.bmp	blankscreen.bmp	practice6.jpg	blankscreen.bmp	square.bmp
411	practice	practice_topright_same	8	694	18	mask.bmp	blankscreen.bmp	practice3.jpg	blankscreen.bmp	circle.bmp
411	practice	practice_bottomright_same	9	467	18	mask.bmp	blankscreen.bmp	practice8.jpg	blankscreen.bmp	circle.bmp
411	practice	practice_topright_diff	10	609	18	mask.bmp	blankscreen.bmp	practice10.jpg	blankscreen.bmp	circle.bmp
411	practice	practice_topright_same	11	490	18	mask.bmp	blankscreen.bmp	practice4.jpg	blankscreen.bmp	circle.bmp
411	practice	practice_bottomleft_same	12	479	23	mask.bmp	blankscreen.bmp	practice5.jpg	blankscreen.bmp	square.bmp
411	real_a	real_topright_diff_a	1	522	23	mask.bmp	blankscreen.bmp	wfd2.bmp	blankscreen.bmp	square.bmp
411	real_a	real_bottomright_same_a	2	519	23	mask.bmp	blankscreen.bmp	wmd5.bmp	blankscreen.bmp	square.bmp
411	real_a	real_topright_diff_a	3	517	23	mask.bmp	blankscreen.bmp	wmn1.bmp	blankscreen.bmp	circle.bmp
411	real_a	real_bottomright_same_a	4	418	18	mask.bmp	blankscreen.bmp	wmn5.bmp	blankscreen.bmp	circle.bmp
411	real_a	real_topleft_same_a	5	547	23	mask.bmp	blankscreen.bmp	wfd4.bmp	blankscreen.bmp	square.bmp
411	real_a	real_topright_same_a	6	623	23	mask.bmp	blankscreen.bmp	wfd5.bmp	blankscreen.bmp	square.bmp
411	real_a	real_bottomright_diff_a	7	529	18	mask.bmp	blankscreen.bmp	wmd1.bmp	blankscreen.bmp	circle.bmp
411	real_a	real_topright_diff_a	8	622	18	mask.bmp	blankscreen.bmp	wmd3.bmp	blankscreen.bmp	circle.bmp
411	real_a	real_topleft_diff_a	9	943	18	mask.bmp	blankscreen.bmp	wmd2.bmp	blankscreen.bmp	circle.bmp
411	real_a	real_bottomleft_same_a	10	692	23	mask.bmp	blankscreen.bmp	wfn5.bmp	blankscreen.bmp	square.bmp
411	real_a	real_bottomleft_diff_a	11	1219	23	mask.bmp	blankscreen.bmp	wfd3.bmp	blankscreen.bmp	square.bmp
411	real_a	real_bottomleft_diff_a	12	484	18	mask.bmp	blankscreen.bmp	wmn2.bmp	blankscreen.bmp	circle.bmp
411	real_a	real_topright_same_a	13	595	18	mask.bmp	blankscreen.bmp	wmn4.bmp	blankscreen.bmp	circle.bmp
411	real_a	real_bottomright_diff_a	14	470	18	mask.bmp	blankscreen.bmp	wmn3.bmp	blankscreen.bmp	circle.bmp
