user_id,sex,age,recent_cold,hexaco.A,hexaco.C,hexaco.E,hexaco.H,hexaco.O,hexaco.X,img,pd,PVDga,PVDpi,recency,WFD,WFN,WMD,WMN,recency.z,PVDga.z,PVDpi.z,img.z,pd.z
1,NA,NA,not recent,3.6,4.2,3.5,3.5,2.7,3.9,1.5714285714285714,3.4285714285714284,2.125,3.142857142857143,3.75,1,1,1,1,0.1832239974697167,-1.561535579472117,-0.3957256213292765,-2.3774216835125217,-1.647605610119982
2,NA,NA,not recent,3.5,3.8,4.2,2.4,3.1,4.4,2.2857142857142856,3,2.625,4,1.25,2,1.4,2.4,1.4,-1.3168991590033197,-1.1104128321147395,0.27503347821128177,-1.7630455477629499,-2.099404692840468
3,NA,NA,not recent,4.1,3,4.2,4,2.5,3,3.4285714285714284,4.142857142857143,4,2,2.25,1.3,1,1.6,1,-0.7168498964141051,0.1301747231180492,-1.290071087383354,-0.7800437305636353,-0.8946071389191713
5,NA,NA,not recent,3,4.2,3.1,4.6,3.3,2.1,5,4.857142857142857,5.875,2,1.25,1,1,1,1,-1.3168991590033197,1.8218850257082155,-1.290071087383354,0.57158376808542255,-0.14160866771836197
6,NA,NA,not recent,2.2,4.2,3.5,2.7,3.5,2.1,4.857142857142857,5.428571428571429,4.5,2,2.25,1.1,1,1.4,1.6,-0.7168498964141051,0.5812974704754269,-1.290071087383354,0.4487085409355078,0.46079010924228686
7,NA,NA,recent,2.2,3.9,3.9,2.7,3.5,3.5,4.714285714285714,5.714285714285714,4.75,5.428571428571429,4.25,1,1,1,1,0.483248628764324,0.8068588441541157,1.392965310778879,0.32583331378559394,0.7619894977226108
8,NA,NA,not recent,3.2,2.4,2.9,3.1,4.8,3.5,4.142857142857143,4.428571428571429,2.5,3.4285714285714284,2.5,2.2,2.3,2.7,3.7,-0.5668375807668016,-1.223193518954084,-0.17213925481575718,-0.16566759481406318,-0.5934077504388474
9,NA,NA,not recent,3.5,4.6,4.1,4.3,4.4,2.7,3.142857142857143,4,3,2.5714285714285716,1,1,1,1,1,-1.4669114746506233,-0.7720707715967062,-0.8428983543563151,-1.025794184863464,-1.0452068331593338
10,NA,NA,not recent,2.8,4.2,3.4,3.3,1.6,3,4.428571428571429,5.285714285714286,5.25,4.285714285714286,1,2.1,1,2,1,-1.4669114746506233,1.2579815915114934,0.4986198447248011,0.08008285948576539,0.3101904150021244
11,NA,NA,not recent,3.5,4.3,3.6,3.6,3.3,3.9,3.5714285714285716,5.571428571428571,6.25,6.571428571428571,3.25,1,1,1,1,-0.11680063382489059,2.1602270862262487,2.2873107768329564,-0.6571685034137207,0.6113898034824484
12,NA,NA,not recent,3.3,3.2,2,3.8,3.4,3.9,3.5714285714285716,4.142857142857143,3,3.857142857142857,3.5,2.8,1.1,2.2,1.2,0.033211681822413054,-0.7720707715967062,0.16324029495452214,-0.6571685034137207,-0.8946071389191713
13,NA,NA,not recent,3,4.1,3.4,3.5,3.2,3.7,5.857142857142857,5.714285714285714,6.5,2.7142857142857144,2,4.4,1,3.8,3.2,-0.8668622120614088,2.3857884599049375,-0.7311051710995555,1.3088351309849082,0.7619894977226108
14,NA,NA,recent,3.7,4.3,4.2,3.9,4.2,2.6,4.714285714285714,4.571428571428571,4.5,5,6.5,3.2,1.4,3.8,2.4,1.8333594695900568,0.5812974704754269,1.0575857610085997,0.32583331378559394,-0.4428080561986859
15,NA,NA,not recent,3.8,4,2.8,3.7,3.8,4.3,3.142857142857143,5.285714285714286,3,3.4285714285714284,2.5,1.4,1,1.4,1,-0.5668375807668016,-0.7720707715967062,-0.17213925481575718,-1.025794184863464,0.3101904150021244
16,NA,NA,not recent,3.1,4,3.5,3.4,3,3.4,5,5.857142857142857,4.625,4.428571428571429,3.75,3.8,1.8,4.4,2.3,0.1832239974697167,0.6940781573147713,0.610413027981561,0.57158376808542255,0.9125891919627723
17,NA,NA,not recent,4.1,3.8,2.7,3.7,3.4,3.1,5.428571428571429,5.857142857142857,4.125,3,1.5,1.1,1,1,1,-1.1668868433560162,0.24295540995739362,-0.5075188045860362,0.9402094495351657,0.9125891919627723
18,NA,NA,recent,2.3,4.1,4.1,2.2,3.1,3.8,4.571428571428571,5.857142857142857,5.25,5,6.25,1.1,1,1.1,1,1.6833471539427531,1.2579815915114934,1.0575857610085997,0.2029580866356793,0.9125891919627723
19,NA,NA,recent,3.3,4.4,4.1,4,3.9,3.8,6,6.714285714285714,6.25,3.5714285714285716,7,1.5,1,1.2,1,2.133384100884664,2.1602270862262487,-0.06034607155899718,1.431710358134823,1.816187357403745
20,NA,NA,not recent,3.3,4,2.9,3.7,4,2.7,3.4285714285714284,3.857142857142857,3.5,2.2857142857142856,1.75,3,2,2.9,2.2,-1.0168745277087126,-0.3209480242393285,-1.0664847208698347,-0.7800437305636353,-1.1958065273994958
21,NA,NA,not recent,3.2,2.5,4.1,2.8,1.9,3.7,2.7142857142857144,4.428571428571429,2.125,3.857142857142857,2.5,3.6,1.5,3.4,2.3,-0.5668375807668016,-1.561535579472117,0.16324029495452214,-1.3944198663132068,-0.5934077504388474
22,NA,NA,recent,3.5,4.2,4.4,3.8,4,4.4,2.857142857142857,5.428571428571429,3.875,4,6.25,1.7,1,2.2,1,1.6833471539427531,0.01739403627870477,0.27503347821128177,-1.2715446391632925,0.46079010924228686
23,NA,NA,not recent,2.7,3.8,3.9,3.7,3.1,3.2,5.142857142857143,5,3.75,2.857142857142857,3.75,2.6,1.2,2.3,1.9,0.1832239974697167,-0.09538665056063965,-0.6193119878427958,0.6944589952353372,0.008991026521800477
25,NA,NA,not recent,3.8,4.3,4,3,2.9,3.3,5.857142857142857,6,4,3.857142857142857,1.75,3.3,1.2,3.9,2.4,-1.0168745277087126,0.1301747231180492,0.16324029495452214,1.3088351309849082,1.0631888862029348
26,NA,NA,not recent,3.7,3.4,4.5,3.5,3.1,2.5,4.428571428571429,5.857142857142857,3.5,2.142857142857143,3,1.4,1,1.9,1,-0.26681294947219425,-0.3209480242393285,-1.1782779041265945,0.08008285948576539,0.9125891919627723
27,NA,NA,recent,2.8,3.1,2.9,3.3,3.1,3.5,5.857142857142857,5.714285714285714,4.25,4.142857142857143,6,1.3,1,1.4,1,1.5333348382954495,0.355736096796738,0.3868266614680418,1.3088351309849082,0.7619894977226108
28,NA,NA,recent,3.1,3.4,3.7,4.5,2.5,4,6.142857142857143,6.285714285714286,4.875,4.428571428571429,6.75,4.7,1.3,5,2.4,1.9833717852373605,0.9196395309934602,0.610413027981561,1.5545855852847374,1.3643882746832587
29,NA,NA,recent,3.6,4,4.2,3.3,2.8,3.7,6.428571428571429,6.714285714285714,5.375,4.571428571428571,6.5,3.4,1.1,3.2,1.3,1.8333594695900568,1.3707622783508377,0.7222062112383204,1.800336039584566,1.816187357403745
30,NA,NA,recent,3.2,4.6,3.6,3,2.5,1.7,1.4285714285714286,5.285714285714286,4.75,5.142857142857143,6.75,1.8,1.1,1.9,1.6,1.9833717852373605,0.8068588441541157,1.1693789442653597,-2.5002969106624358,0.3101904150021244
31,NA,NA,recent,2.9,4.3,3.5,3.8,4.2,3.7,3.4285714285714284,4.571428571428571,2.5,2.5714285714285716,4.75,1,1,1,1,0.7832732600589313,-1.223193518954084,-0.8428983543563151,-0.7800437305636353,-0.4428080561986859
32,NA,NA,not recent,2.7,3.6,4.2,4.1,3.6,2.4,5.285714285714286,5.714285714285714,3.125,4.571428571428571,1.25,5,2,5.9,3.2,-1.3168991590033197,-0.6592900847573617,0.7222062112383204,0.8173342223852511,0.7619894977226108
33,NA,NA,not recent,2.2,4.7,4.1,4,3.8,3.3,6,6,5.875,4.571428571428571,3.75,2.3,2,2.2,2.3,0.1832239974697167,1.8218850257082155,0.7222062112383204,1.431710358134823,1.0631888862029348
34,NA,NA,not recent,3.8,3.4,1.8,4,2.3,3.1,3.4285714285714284,3.2857142857142856,2.875,5,3.25,1.5,1.1,1.7,1,-0.11680063382489059,-0.8848514584360506,1.0575857610085997,-0.7800437305636353,-1.798205304360144
35,NA,NA,recent,2.9,3.2,2.6,2.4,4.3,4.1,1.2857142857142858,5.285714285714286,3.5,3.5714285714285716,6.5,1.3,1,1.1,1,1.8333594695900568,-0.3209480242393285,-0.06034607155899718,-2.6231721378123503,0.3101904150021244
36,NA,NA,not recent,3.5,2.7,3.9,3.8,2.6,3.8,6.571428571428571,5.571428571428571,5.25,3.857142857142857,2.25,3.5,1,3.6,1,-0.7168498964141051,1.2579815915114934,0.16324029495452214,1.92321126673448,0.6113898034824484
37,NA,NA,not recent,3.3,3.7,3.5,4.4,4.2,4,4.285714285714286,4.714285714285714,5.25,3.2857142857142856,2.25,1.3,1,1.5,1.2,-0.7168498964141051,1.2579815915114934,-0.28393243807251684,-0.04279236766414927,-0.29220836195852345
38,NA,NA,not recent,2.9,3.1,2.9,2.9,3.9,2.7,2.4285714285714284,3.2857142857142856,3,3.857142857142857,2.25,2,1,2,1,-0.7168498964141051,-0.7720707715967062,0.16324029495452214,-1.6401703206130356,-1.798205304360144
39,NA,NA,not recent,3.2,3.9,3.6,3.2,3.5,3.6,5.571428571428571,4.857142857142857,4.25,3.7142857142857144,3.5,3.6,1.4,4,1.1,0.033211681822413054,0.355736096796738,0.05144711169776247,1.0630846766850797,-0.14160866771836197
40,NA,NA,not recent,2.8,3.9,4.4,2.5,3.1,3.8,6,6.428571428571429,5.75,4.571428571428571,2,2.1,1,1.7,1,-0.8668622120614088,1.7091043388688711,0.7222062112383204,1.431710358134823,1.5149879689234211
41,NA,NA,recent,2.4,4.6,4,3.6,2.4,3.3,6.142857142857143,6.142857142857143,3.75,6.285714285714286,5.25,2.9,1,2.7,1,1.0832978913535385,-0.09538665056063965,2.063724410319437,1.5545855852847374,1.2137885804430972
42,NA,NA,recent,2.4,3,3.6,2.7,3.1,4.7,7,7.142857142857143,5.75,3.2857142857142856,5.25,5.3,2.2,5.2,2.3,1.0832978913535385,1.7091043388688711,-0.28393243807251684,2.291836948184223,2.2679864401242313
43,NA,NA,not recent,2.5,4.5,3.2,3.8,3.2,3.5,5.714285714285714,5.428571428571429,6.125,4.714285714285714,2.5,1.8,1.3,2.1,1.7,-0.5668375807668016,2.0474463993869043,0.8339993944950804,1.1859599038349944,0.46079010924228686
