StartDate,EndDate,Status,Progress,Duration__in_seconds_,Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,PID,DH1,DH2,DH3,DH4,DH5,PVD1,PVD2,PVD3R,PVD4,PVD5R,PVD6,PVD7,PVD8,PVD9,PVD10,PVD11R,PVD12R,PVD13R,PVD14R,PVD15,DS1,DS2,DS3,DS4,DS5,DS6,DS7,WFD1,WFD2,WFD3,WFD4,WFD5,WFD6,WFD7,WFD8,WFD9,WFD10___rating,WMD1,WMD2,WMD3,WMD4,WMD5,WMD6,WMD7,WMD8,WMD9,WMD10,WFN1,WFN2,WFN3,WFN4,WFN5,WFN6,WFN7,WFN8,WFN9,WFN10,WMN1,WMN2,WMN3,WMN4,WMN5,WMN6,WMN7,WMN8,WMN9,WMN10,A1b___yellow_stuff,A2b_sickface,A3b_Crowded_train,A4b_Yellow_red_towel,A5b_wound,A6b_worms,A7b_mite,O1R,C1,A1,X1,E1,H1,O2,C2,A2R,X2R,E2,H2R,O3,C3R,A3R,X3,E3,H3,O4R,C4R,A4R,X4,E4,H4R,O5,C5R,A5,X5R,E5,H5R,O6R,C6R,A6,X6,E6R,H6,O7,C7,A7,X7,E7R,H7R,O8,C8R,A8,X8R,E8,H8R,O9R,C9,A9,X9R,E9R,H9,O10R,C10R,A10R,X10,E10R,H10R
2019-09-19T10:02:28Z,2019-09-19T10:22:37Z,0,100,1208,1,2019-09-19T10:22:37Z,R_1JD6IzKmFDgZkXs,anonymous,EN,401,6,1,1,1,1,6,3,6,6,3,1,1,1,3,1,7,1,2,2,1,4,3,5,7,7,7,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,1,7,7,2,6,4,4,4,5,1,5,4,5,4,4,4,4,5,5,5,5,5,5,3,4,3,4,4,5,4,5,4,4,4,4,2,5,2,4,4,4,4,5,2,4,4,5,5,4,2,4,4,4,4,4,3,5,4,5,5,4,4,4,4,5
2019-09-19T11:11:35Z,2019-09-19T11:22:58Z,0,100,682,1,2019-09-19T11:22:58Z,R_29oE28gm7FpRCAt,anonymous,EN,402,4,2,2,2,4,4,2,2,5,3,2,2,2,2,2,5,4,3,3,3,6,6,3,5,3,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,4,6,4,6,3,2,3,4,4,4,5,3,4,2,2,4,4,2,4,2,4,4,3,3,5,3,3,4,2,2,4,4,3,4,5,1,3,2,3,4,5,2,4,3,4,3,5,4,4,2,4,4,4,2,4,4,4,4,2,3,4,2,3,3
2019-09-19T11:41:11Z,2019-09-19T11:55:27Z,0,100,856,1,2019-09-19T11:55:28Z,R_3e8DLO5nRXG9qAt,anonymous,EN,403,7,3,4,1,1,7,4,3,6,5,4,1,2,4,2,5,4,3,4,2,8,3,5,7,5,7,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,3,5,7,7,6,3,4,3,4,4,4,3,3,5,3,2,5,2,4,3,4,3,4,3,4,5,4,2,4,5,4,3,3,3,5,4,3,1,3,3,4,4,4,4,4,2,4,3,4,4,3,4,5,4,4,4,4,4,5,4,4,4,3,3,5
2019-09-19T12:05:47Z,2019-09-19T12:21:54Z,0,100,967,1,2019-09-19T12:21:54Z,R_b18QnYsjHxZm6kN,anonymous,EN,404,2,3,3,6,6,7,3,6,6,3,3,5,3,5,3,4,3,5,3,7,6,2,5,2,7,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,5,6,2,7,2,2,5,2,3,2,2,4,5,4,4,5,2,2,4,2,2,4,2,2,4,2,4,3,5,3,5,3,4,4,2,3,4,3,4,4,3,4,5,2,4,4,4,4,4,2,3,4,4,2,5,2,3,4,4,4,3,2,3,4,3
2019-09-19T12:14:45Z,2019-09-19T12:31:25Z,0,100,999,1,2019-09-19T12:31:25Z,R_b7KkmbhfzJw2UF3,anonymous,EN,405,4,5,5,4,5,6,5,2,3,4,3,1,2,1,1,2,6,5,4,3,7,5,5,5,6,6,5,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,1,5,5,3,5,7,6,4,5,3,4,4,4,2,5,3,2,3,4,3,4,4,2,2,4,2,5,2,4,2,3,4,1,4,2,3,3,2,4,4,4,4,4,3,2,4,4,2,1,2,5,2,3,3,4,4,4,2,2,4,4,2,4,2,2,3,3,2
2019-09-23T09:57:20Z,2019-09-23T10:13:30Z,0,100,970,1,2019-09-23T10:13:30Z,R_3HNdPYCDOOzA3d3,anonymous,EN,406,2,5,5,4,6,4,5,2,6,6,2,1,5,6,2,2,6,2,4,1,8,1,4,5,3,5,2,1,1,1,2,1,1,1,1,4,4,1,1,1,1,1,4,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,5,1,1,6,6,4,1,4,5,2,2,2,3,3,5,4,3,5,5,4,5,4,4,4,4,4,5,5,4,2,4,2,5,2,2,4,2,2,5,2,2,5,3,4,5,4,3,2,4,3,5,5,3,4,5,4,5,4,2,4,4,2,5,5,1,5,5
2019-09-23T10:44:15Z,2019-09-23T11:00:46Z,0,100,990,1,2019-09-23T11:00:49Z,R_oXduDqFv1xLKrbH,anonymous,EN,407,5,3,2,2,2,7,5,5,5,5,3,4,2,3,2,7,5,6,5,2,6,3,7,6,5,2,4,2,2,2,1,2,2,2,1,2,3,2,2,2,3,3,4,2,2,4,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,2,2,2,1,6,3,2,6,7,2,2,2,4,2,4,2,2,3,4,2,1,5,2,2,4,5,1,4,3,2,4,5,3,4,4,1,5,1,2,2,2,2,4,3,1,5,2,5,4,4,1,2,4,4,4,5,2,5,4,4,2,4,4,5,2,2,4,4,1,4,2
2019-09-23T11:54:23Z,2019-09-23T12:09:02Z,0,100,879,1,2019-09-23T12:09:03Z,R_1Nl7pCg6QNqrsQr,anonymous,EN,408,3,2,2,2,5,7,3,2,4,3,3,3,3,7,3,3,3,3,3,4,7,5,5,7,5,7,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,3,1,2,5,7,6,6,4,4,4,4,2,2,2,3,3,3,4,2,3,4,2,3,4,3,3,2,4,4,2,5,2,4,3,3,4,4,2,4,3,3,2,3,4,4,3,4,2,3,4,4,4,3,4,4,3,4,3,4,4,4,4,2,4,3,3,1
2019-09-23T12:30:22Z,2019-09-23T12:45:46Z,0,100,924,1,2019-09-23T12:45:47Z,R_Tc61SwBM5aXxZrX,anonymous,EN,409,1,6,5,6,6,3,1,2,5,2,1,2,1,1,1,6,6,7,2,2,6,2,2,4,4,3,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,2,4,7,3,6,4,2,4,5,1,2,3,4,5,4,2,1,5,4,4,4,2,4,4,2,4,4,4,4,4,2,4,4,4,5,3,4,2,4,1,2,4,4,4,5,2,5,4,3,5,4,5,4,4,2,4,5,2,2,4,4,5,2,4,4
2019-09-23T13:13:11Z,2019-09-23T13:21:55Z,0,100,524,1,2019-09-23T13:21:56Z,R_3LirchjUVRNaWrq,anonymous,EN,411,6,6,6,6,1,5,7,3,4,7,4,3,6,1,5,4,6,4,6,3,8,3,5,7,7,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,4,5,7,6,4,2,5,3,3,3,2,4,5,3,1,5,1,4,5,2,3,3,3,3,5,3,2,2,4,2,4,2,3,4,3,2,3,3,2,4,3,2,4,4,3,2,4,4,4,3,2,5,4,2,5,2,3,5,2,4,4,4,3,3,3
