user_id,face_type,site,rt,sex,age,recent_cold,hexaco.A,hexaco.C,hexaco.E,hexaco.H,hexaco.O,hexaco.X,img,pd,PVDga,PVDpi,recency,WFD,WFN,WMD,WMN,recency.z,PVDga.z,PVDpi.z,img.z,pd.z
1,disfigured,MI,709.75,NA,NA,not recent,3.6,4.2,3.5,3.5,2.7,3.9,1.5714285714285714,3.4285714285714284,2.125,3.142857142857143,3.75,1,1,1,1,0.1832239974697167,-1.561535579472117,-0.3957256213292765,-2.3774216835125217,-1.647605610119982
1,typical,MI,724.470818838599,NA,NA,not recent,3.6,4.2,3.5,3.5,2.7,3.9,1.5714285714285714,3.4285714285714284,2.125,3.142857142857143,3.75,1,1,1,1,0.1832239974697167,-1.561535579472117,-0.3957256213292765,-2.3774216835125217,-1.647605610119982
2,disfigured,MI,654.6377170876721,NA,NA,not recent,3.5,3.8,4.2,2.4,3.1,4.4,2.2857142857142856,3,2.625,4,1.25,2,1.4,2.4,1.4,-1.3168991590033197,-1.1104128321147395,0.27503347821128177,-1.7630455477629499,-2.099404692840468
2,typical,MI,568.4782608695652,NA,NA,not recent,3.5,3.8,4.2,2.4,3.1,4.4,2.2857142857142856,3,2.625,4,1.25,2,1.4,2.4,1.4,-1.3168991590033197,-1.1104128321147395,0.27503347821128177,-1.7630455477629499,-2.099404692840468
3,disfigured,MI,674.2571573155512,NA,NA,not recent,4.1,3,4.2,4,2.5,3,3.4285714285714284,4.142857142857143,4,2,2.25,1.3,1,1.6,1,-0.7168498964141051,0.1301747231180492,-1.290071087383354,-0.7800437305636353,-0.8946071389191713
3,typical,MI,627.1666666666666,NA,NA,not recent,4.1,3,4.2,4,2.5,3,3.4285714285714284,4.142857142857143,4,2,2.25,1.3,1,1.6,1,-0.7168498964141051,0.1301747231180492,-1.290071087383354,-0.7800437305636353,-0.8946071389191713
5,disfigured,MI,868.4944675175304,NA,NA,not recent,3,4.2,3.1,4.6,3.3,2.1,5,4.857142857142857,5.875,2,1.25,1,1,1,1,-1.3168991590033197,1.8218850257082155,-1.290071087383354,0.57158376808542255,-0.14160866771836197
5,typical,MI,668.2916666666666,NA,NA,not recent,3,4.2,3.1,4.6,3.3,2.1,5,4.857142857142857,5.875,2,1.25,1,1,1,1,-1.3168991590033197,1.8218850257082155,-1.290071087383354,0.57158376808542255,-0.14160866771836197
6,disfigured,MI,845.7916666666666,NA,NA,not recent,2.2,4.2,3.5,2.7,3.5,2.1,4.857142857142857,5.428571428571429,4.5,2,2.25,1.1,1,1.4,1.6,-0.7168498964141051,0.5812974704754269,-1.290071087383354,0.4487085409355078,0.46079010924228686
6,typical,MI,871.4349023117237,NA,NA,not recent,2.2,4.2,3.5,2.7,3.5,2.1,4.857142857142857,5.428571428571429,4.5,2,2.25,1.1,1,1.4,1.6,-0.7168498964141051,0.5812974704754269,-1.290071087383354,0.4487085409355078,0.46079010924228686
7,disfigured,MI,484.1904761904762,NA,NA,recent,2.2,3.9,3.9,2.7,3.5,3.5,4.714285714285714,5.714285714285714,4.75,5.428571428571429,4.25,1,1,1,1,0.483248628764324,0.8068588441541157,1.392965310778879,0.32583331378559394,0.7619894977226108
7,typical,MI,481.33575830671,NA,NA,recent,2.2,3.9,3.9,2.7,3.5,3.5,4.714285714285714,5.714285714285714,4.75,5.428571428571429,4.25,1,1,1,1,0.483248628764324,0.8068588441541157,1.392965310778879,0.32583331378559394,0.7619894977226108
8,disfigured,MI,688.3546081622326,NA,NA,not recent,3.2,2.4,2.9,3.1,4.8,3.5,4.142857142857143,4.428571428571429,2.5,3.4285714285714284,2.5,2.2,2.3,2.7,3.7,-0.5668375807668016,-1.223193518954084,-0.17213925481575718,-0.16566759481406318,-0.5934077504388474
